name,fx,fy,lines
Maida Vale,0.295,0.384549,bakerloo
Warwick Avenue,0.304,0.389056,bakerloo
Harrow and Wealdstone,0.288,0.22382,bakerloo;overground
Kenton,0.288,0.24485,bakerloo;overground
South Kenton,0.287,0.280901,bakerloo;overground
North Wembley,0.286,0.292918,bakerloo;overground
Wembley Central,0.288,0.301931,bakerloo;overground
Stonebridge Park,0.287,0.312446,bakerloo;overground
Harlesden,0.286,0.322961,bakerloo;overground
Willesden Junction,0.288,0.331974,bakerloo;overground
Kensal Green,0.288,0.342489,bakerloo;overground
Queens Park,0.288,0.351502,bakerloo;overground
Kilburn Park,0.288,0.375536,bakerloo
Paddington,0.338,0.401073,bakerloo;circle;district;elizabeth line;hammersmith & city
Edgeware Road (Bakerloo),0.347,0.387554,bakerloo
Marylebone,0.372,0.387554,bakerloo;national rail
Baker Street,0.397,0.399571,bakerloo;circle;hammersmith & city;jubilee;metropolitan
Regents Park,0.408,0.426609,bakerloo
Oxford Circus,0.415,0.45515,bakerloo;central;victoria
Piccadilly Circus,0.432,0.488197,bakerloo;piccadilly
Charing Cross,0.448,0.512232,bakerloo;national rail;northern
Embankment,0.449,0.537768,bakerloo;circle;district;northern
Waterloo,0.448,0.569313,bakerloo;jubilee;national rail;northern;waterloo & city
Lambeth North,0.453,0.611373,bakerloo
Elephant and Castle,0.462,0.656438,bakerloo;national rail;northern;thameslink
Brixton,0.449,0.713519,national rail;victoria
Stockwell,0.431,0.687983,northern;victoria
Vauxhall,0.41,0.656438,national rail;victoria
Victora,0.4,0.537768,circle;district;national rail;victoria
Green Park,0.404,0.486695,jubilee;victoria;piccadilly
Warren Street,0.447,0.408584,northern;victoria
Pimlico,0.401,0.585837,victoria
Euston,0.457,0.374034,national rail;northern;overground;victoria
Kings Cross St. Pancras,0.483,0.387554,circle;hammersmith & city;metropolitan;national rail;northern;piccadilly;thameslink;victoria
Highbury and Islington,0.544,0.336481,national rail;overground;victoria
